title,companyName,rating,reviews,experience,salary,location,qualification_required,skills,day_posted
Data Scientist - BLR/ HYD/ GGN,Genpact,3.9,27599  Reviews,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Gurugram, Bengaluru","Furthermore, please do note that Genpact does not charge fees to process job applicatio...","Data Science,Predictive Modeling,Decision Tree,Text Analytics,Natural Language Processing,Neural Networks,Text Mining,LLM", 2 Days Agosave
Data Analyst / Data Scientist,Ifood Web Media Technology,3.9,14  Reviews,5-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru","Highly proficient in Excel data mining, data crunching and analyzing using advanced fun...","Advanced Analytics,Data Analyst,Data Analytics,HLOOKUP,Data Science,Logistic Regression,Decision Tree,VLOOKUP", 3 Days Agosave
Data Scientist I A - GBS,Bank Of America,4.4,2657  Reviews,7-9 Yrs,Not disclosed,"Hyderabad, Chennai",The Scorecard Ongoing Monitoring Report (OMR) team performs essential analytical monito...,"Wealth management,SAS,Data management,Risk analytics,Process improvement,Analytical,Consulting,Risk management", 2 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 1 Day Agosave
Data Scientist,Info Edge,4.0,1798  Reviews,0-3 Yrs,Not disclosed,Noida,Strong fundamental understanding and research experience in machine learning / Deep Lea...,"cnn,transformers,natural language processing,information retrieval,problem solving,bert,random forest,machine learning", 3 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,3-7 Yrs,Not disclosed,Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","data analysis,pandas,deep learning,spark,data visualization,hive,pyspark,power bi", 5 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,5-7 Yrs,Not disclosed,Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 5 Days Agosave
Data Scientist (Market Mix Modelling),Blend360 India,3.3,23  Reviews,3-8 Yrs,Not disclosed,Hyderabad,"Bachelors or Masters degree in Data Science, Statistics, Economics, Mathematics, or a r...","Market Mix Modelling,Machine Learning,SQL,Statistical Modeling,Python,Predictive Modeling,IRI,Azure", 1 Day Agosave
Data Scientist,Soul Ai,3.7,7  Reviews,0 Yrs,Not disclosed,Remote,"These are project-based part-time roles that offer flexible hours, with an anticipated ...","Data Science,Business Intelligence,Data Engineering,Natural Language Processing,Debugging,Data Cleansing,Machine Learning,Deep Learning", 12 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,5-9 Yrs,Not disclosed,Gurugram,Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...,"python,data analytics,tableau,data visualization,machine learning algorithms,algorithms,natural language processing,machine learning", 1 Day Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,3-7 Yrs,Not disclosed,Gurugram,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 1 Day Agosave
Data AI | Data Scientist,Globallogic,3.7,3974  Reviews,5-10 Yrs,Not disclosed,Noida,"Required Skills: . Proficiency in programming languages such as Python, R, or SQL. . St...","python,project management,data analysis,analytical,data mining,engineering,machine learning,tools", 2 Days Agosave
Data AI | Data Scientist,Globallogic,3.7,3974  Reviews,5-10 Yrs,Not disclosed,Noida,"Required Skills: . Proficiency in programming languages such as Python, R, or SQL. . St...","python,project management,data analysis,analytical,data mining,engineering,machine learning,tools", 2 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,3-7 Yrs,Not disclosed,Pune,"As a Data Scientist at IBM, you will help transform our clients' data into tangible bus...","python,node.js,tableau,java,lambda expressions,db servers,oracle,dynamo db", 2 Days Agosave
Data Scientist,Innovaccer,3.0,300  Reviews,2-7 Yrs,Not disclosed,Noida,We are looking for a skilled and curious Data Scientist with industry experience in app...,"Product management,Health insurance,Claims,HCPCS,Medical coding,Healthcare,Life sciences,Business strategy", 2 Days Agosave
Developer (Data Scientist),Tata Technologies,3.7,2199  Reviews,3-6 Yrs,Not disclosed,Bengaluru,"Experience with in machine learn ing frameworks such as tensorflow, keras torch or Onnx...","continuous integration,kubernetes,cuda,python,natural language processing,neural networks,openshift,aws sagemaker", 2 Days Agosave
Developer (Data Scientist),Tata Technologies,3.7,2199  Reviews,3-6 Yrs,Not disclosed,Bengaluru,"Led a previous team to scale the MLOPs pipelines using AWS Sagemaker, . Kubernetes or O...","deep learning,Neural networks,Opencv,Data collection,Programming,Deployment,AWS,Python", 2 Days Agosave
Immediate Hiring For- Data Scientist,MD India Health Insurance TPA Pvt Ltd,3.8,838  Reviews,4-6 Yrs,Not disclosed,Pune,"Type - On site, Full TimeExperience - 4 to 6 yrs. Proven experience as a Data Scientist...","Machine Learning,Python,SQL,Machine,Data,Hiring", 2 Days Agosave
Data Scientist,Monnai,,,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",". Statistics - Good applied statistical skills, including knowledge of statistical test...","Statistical programming,tableau,Machine learning,Programming,Calculus,data visualization,Credit risk,Data mining", 3 Days Agosave
Data Scientist,Grid Dynamics,3.7,10  Reviews,3-8 Yrs,Not disclosed,Hyderabad,"Experience as a data scientist with preference in forecasting algorithms. Python, PySpa...","Python,algorithms,technology consulting,pyspark,software engineering,machine learning,artificial intelligence,Consulting", 4 Days Agosave
Data Scientist - BLR/ HYD/ GGN,Genpact,3.9,27599  Reviews,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Gurugram, Bengaluru","Furthermore, please do note that Genpact does not charge fees to process job applicatio...","Data Science,Predictive Modeling,Decision Tree,Text Analytics,Natural Language Processing,Neural Networks,Text Mining,LLM", 2 Days Agosave
Data Analyst / Data Scientist,Ifood Web Media Technology,3.9,14  Reviews,5-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru","Highly proficient in Excel data mining, data crunching and analyzing using advanced fun...","Advanced Analytics,Data Analyst,Data Analytics,HLOOKUP,Data Science,Logistic Regression,Decision Tree,VLOOKUP", 3 Days Agosave
Data Scientist I A - GBS,Bank Of America,4.4,2657  Reviews,7-9 Yrs,Not disclosed,"Hyderabad, Chennai",The Scorecard Ongoing Monitoring Report (OMR) team performs essential analytical monito...,"Wealth management,SAS,Data management,Risk analytics,Process improvement,Analytical,Consulting,Risk management", 2 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 1 Day Agosave
Data Scientist,Info Edge,4.0,1798  Reviews,0-3 Yrs,Not disclosed,Noida,Strong fundamental understanding and research experience in machine learning / Deep Lea...,"cnn,transformers,natural language processing,information retrieval,problem solving,bert,random forest,machine learning", 3 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,3-7 Yrs,Not disclosed,Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","data analysis,pandas,deep learning,spark,data visualization,hive,pyspark,power bi", 5 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,5-7 Yrs,Not disclosed,Hyderabad,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 5 Days Agosave
Data Scientist (Market Mix Modelling),Blend360 India,3.3,23  Reviews,3-8 Yrs,Not disclosed,Hyderabad,"Bachelors or Masters degree in Data Science, Statistics, Economics, Mathematics, or a r...","Market Mix Modelling,Machine Learning,SQL,Statistical Modeling,Python,Predictive Modeling,IRI,Azure", 1 Day Agosave
Data Scientist,Soul Ai,3.7,7  Reviews,0 Yrs,Not disclosed,Remote,"These are project-based part-time roles that offer flexible hours, with an anticipated ...","Data Science,Business Intelligence,Data Engineering,Natural Language Processing,Debugging,Data Cleansing,Machine Learning,Deep Learning", 12 Days Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,5-9 Yrs,Not disclosed,Gurugram,Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...,"python,data analytics,tableau,data visualization,machine learning algorithms,algorithms,natural language processing,machine learning", 1 Day Agosave
Data Scientist: Artificial Intelligence,IBM,4.1,20341  Reviews,3-7 Yrs,Not disclosed,Gurugram,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis", 1 Day Agosave
Data AI | Data Scientist,Globallogic,3.7,3974  Reviews,5-10 Yrs,Not disclosed,Noida,"Required Skills: . Proficiency in programming languages such as Python, R, or SQL. . St...","python,project management,data analysis,analytical,data mining,engineering,machine learning,tools", 2 Days Agosave
Data AI | Data Scientist,Globallogic,3.7,3974  Reviews,5-10 Yrs,Not disclosed,Noida,"Required Skills: . Proficiency in programming languages such as Python, R, or SQL. . St...","python,project management,data analysis,analytical,data mining,engineering,machine learning,tools", 2 Days Agosave
